name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,fpl_id,season,now_cost,opponent_name,opponent_short_name,opponent_code,opponent_strength,opponent_strength_overall_home,opponent_strength_overall_away,opponent_strength_attack_home,opponent_strength_attack_away,opponent_strength_defence_home,opponent_strength_defence_away,us_shots,us_id,us_season,us_roster_id,us_key_passes,us_npg,us_npxG,us_xGChain,us_xGBuildup,player_id,opp_dyn_attack,opp_dyn_defence,opp_dyn_overall,kickoff_time_dt
Jadon Sancho,MID,Man Utd,3.0,0,0,4,0,11.3,397,0.05,0.05,0.0,1.08,10,0,0,2.3,3.8,2023-08-14T19:00:00Z,22,20,0,0,0,0,1,0,83993,0,0,1,8.0,1,0,0,0,70,True,0,1,397,2023-24,7.0,Wolves,WOL,39,3,1100,1100,1085,1105,1115,1100,0.0,22284.0,2023.0,604632.0,1.0,0.0,0.0,0.2712413966655731,0.1430738866329193,6345.0,628.2833001464608,1002.828105914544,815.5557030305024,2023-08-14 19:00:00+00:00
Vitaly Janelt,MID,Brentford,2.1,0,0,6,0,11.5,105,0.01,0.03,0.02,1.26,8,2,0,4.3,14.6,2023-08-13T13:00:00Z,90,18,0,0,0,0,1,0,6508,1,2,2,17.0,2,0,0,0,55,True,0,1,105,2023-24,5.5,Spurs,TOT,6,4,1170,1230,1110,1150,1230,1310,1.0,22282.0,2023.0,604191.0,1.0,0.0,0.0268438290804624,0.3718048632144928,0.2823283076286316,9680.0,1086.570549554548,1030.0098090107588,1058.2901792826533,2023-08-13 13:00:00+00:00
Andre Brooks,MID,Sheffield Utd,0.5,0,0,3,0,0.0,655,0.01,0.01,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,3,8,0,0,0,0,1,0,0,0,1,0,0.0,1,0,0,0,45,True,0,1,655,2023-24,4.5,Crystal Palace,CRY,31,3,1070,1100,1080,1120,1060,1085,0.0,22280.0,2023.0,603829.0,0.0,0.0,0.0,0.0,0.0,11731.0,820.5752437639983,1127.2709585037167,973.9231011338575,2023-08-12 14:00:00+00:00
Curtis Jones,MID,Liverpool,2.1,0,0,1,0,1.8,300,0.01,0.01,0.0,0.24,9,0,0,0.6,4.6,2023-08-13T15:30:00Z,24,7,0,0,0,0,1,0,11655,0,1,1,0.0,1,0,0,0,50,False,0,1,300,2023-24,5.0,Chelsea,CHE,8,3,1125,1190,1080,1150,1170,1230,0.0,22283.0,2023.0,604432.0,0.0,0.0,0.0,0.0,0.0,6665.0,953.2602561777821,1012.483894212554,982.872075195168,2023-08-13 15:30:00+00:00
Reece James,DEF,Chelsea,2.1,0,0,15,0,35.9,206,0.42,0.45,0.03,1.23,9,1,0,5.0,11.4,2023-08-13T15:30:00Z,75,11,0,0,0,0,1,0,1339493,1,1,1,3.0,2,0,0,0,55,True,0,1,206,2023-24,5.5,Liverpool,LIV,14,4,1240,1370,1210,1350,1270,1390,1.0,22283.0,2023.0,604409.0,2.0,0.0,0.0285643395036458,0.826264500617981,0.826264500617981,8067.0,1464.2294195989987,972.5732577170597,1218.401338658029,2023-08-13 15:30:00+00:00
Ben Osborn,MID,Sheffield Utd,1.1,0,0,6,0,0.0,489,0.01,0.13,0.12,2.01,7,1,0,0.0,0.0,2023-08-12T14:00:00Z,86,8,0,0,0,0,1,0,2319,1,1,0,0.0,2,0,0,0,50,True,0,1,489,2023-24,5.0,Crystal Palace,CRY,31,3,1070,1100,1080,1120,1060,1085,1.0,22280.0,2023.0,603822.0,0.0,0.0,0.1125490367412567,0.1125490367412567,0.0,7714.0,820.5752437639983,1127.2709585037167,973.9231011338575,2023-08-12 14:00:00+00:00
Amad Diallo,MID,Man Utd,0.0,0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,20,0,0,0,0,1,0,4577,0,0,1,0.0,0,0,0,0,45,True,0,1,371,2023-24,4.5,Wolves,WOL,39,3,1100,1100,1085,1105,1115,1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8127.0,628.2833001464608,1002.828105914544,815.5557030305024,2023-08-14 19:00:00+00:00
Anthony Elanga,MID,Nott'm Forest,1.1,1,0,17,0,20.5,378,0.61,0.61,0.0,0.4,2,0,0,4.2,19.2,2023-08-12T12:00:00Z,10,1,0,0,0,0,1,0,43975,0,1,2,2.0,4,0,0,0,50,False,0,1,378,2023-24,5.0,Arsenal,ARS,3,5,1350,1365,1370,1370,1330,1360,0.0,22276.0,2023.0,603724.0,2.0,0.0,0.0,0.6872300505638123,0.0,9524.0,1172.228416326685,1084.0955993234813,1128.162007825083,2023-08-12 12:00:00+00:00
Oliver Norwood,MID,Sheffield Utd,0.8,0,0,11,0,0.0,488,0.09,0.13,0.04,2.01,7,1,0,0.0,0.0,2023-08-12T14:00:00Z,90,8,0,0,0,0,1,0,2002,1,1,0,0.0,2,0,0,0,50,True,0,1,488,2023-24,5.0,Crystal Palace,CRY,31,3,1070,1100,1080,1120,1060,1085,2.0,22280.0,2023.0,603823.0,2.0,0.0,0.0294303335249423,0.1419793665409088,0.1125490367412567,7710.0,820.5752437639983,1127.2709585037167,973.9231011338575,2023-08-12 14:00:00+00:00
Bernardo Veiga de Carvalho e Silva,MID,Man City,3.8,0,0,11,1,8.6,344,0.03,0.03,0.0,0.3,1,0,0,1.1,2.2,2023-08-11T19:00:00Z,90,6,0,0,0,0,1,0,404104,1,3,0,0.0,3,0,0,0,65,False,0,1,344,2023-24,6.5,Burnley,BUR,90,2,1045,1050,1050,1050,1040,1050,0.0,22275.0,2023.0,603626.0,0.0,0.0,0.0,0.3742609024047851,0.3742609024047851,3635.0,987.725543405025,1013.8685203371139,1000.7970318710694,2023-08-11 19:00:00+00:00
