name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,fpl_id,season,now_cost,opponent_name,opponent_short_name,opponent_code,opponent_strength,opponent_strength_overall_home,opponent_strength_overall_away,opponent_strength_attack_home,opponent_strength_attack_away,opponent_strength_defence_home,opponent_strength_defence_away,us_shots,us_id,us_season,us_roster_id,us_key_passes,us_npg,us_npxG,us_xGChain,us_xGBuildup,player_id,opp_dyn_attack,opp_dyn_defence,opp_dyn_overall,kickoff_time_dt
Nathan Redmond,MID,Southampton,1.5,0,0,3,0,0.0,403,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,1,18,0,0,0,0,1,0,5871,0,1.0,4.0,0.0,1,0,0,0,55,False,0,1,403,2022-23,5.5,Spurs,TOT,6,3,1155,1220,1140,1210,1170,1230,0.0,18207.0,2022.0,539512.0,0.0,0.0,0.0,0.0,0.0,790.0,,,,
Junior Stanislas,MID,Bournemouth,1.1,0,0,3,0,0.0,58,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2022-08-06T14:00:00Z,1,2,0,0,0,0,1,0,9491,0,0.0,2.0,0.0,1,0,0,0,50,True,0,1,58,2022-23,5.0,Aston Villa,AVL,7,3,1070,1100,1070,1075,1070,1130,0.0,18204.0,2022.0,539408.0,0.0,0.0,0.0,0.0,0.0,463.0,,,,
Armando Broja,FWD,Chelsea,2.0,0,0,3,0,0.3,150,0.0,0.0,0.0,0.0,3,0,0,2.5,5.2,2022-08-06T16:30:00Z,15,8,0,0,0,0,1,0,124903,0,1.0,0.0,19.0,1,0,0,0,55,False,0,1,150,2022-23,5.5,Everton,EVE,11,3,1055,1095,1070,1100,1040,1090,1.0,18208.0,2022.0,539632.0,0.0,0.0,0.0460848994553089,0.0,0.0,8384.0,,,,
Fabian Schär,DEF,Newcastle,2.4,0,3,43,1,14.6,366,0.0,0.0,0.0,0.0,7,0,1,10.6,66.0,2022-08-06T14:00:00Z,90,16,0,0,0,0,1,0,40132,0,0.0,2.0,25.0,15,0,0,0,45,True,0,1,366,2022-23,4.5,Nott'm Forest,NFO,17,3,1050,1100,1065,1100,1030,1105,2.0,18206.0,2022.0,539454.0,1.0,1.0,0.0623559989035129,0.6060130000114441,0.6060130000114441,76.0,,,,
Jonny Evans,DEF,Leicester,1.9,0,0,15,0,1.3,249,0.0,0.0,0.0,0.0,6,2,0,1.5,14.0,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,24256,0,2.0,2.0,0.0,1,0,0,0,45,True,0,1,249,2022-23,4.5,Brentford,BRE,94,3,1115,1180,1100,1160,1130,1200,0.0,18210.0,2022.0,539826.0,0.0,0.0,0.0,0.1368490010499954,0.1368490010499954,807.0,,,,
Brennan Johnson,FWD,Nott'm Forest,1.3,0,0,3,0,0.9,394,0.0,0.0,0.0,0.0,7,2,0,0.6,0.0,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,0,171887,0,0.0,2.0,6.0,2,0,0,0,60,False,0,1,394,2022-23,6.0,Newcastle,NEW,4,4,1210,1260,1250,1300,1165,1220,0.0,18206.0,2022.0,539478.0,0.0,0.0,0.0,0.0,0.0,10760.0,,,,
Cheick Doucouré,MID,Crystal Palace,1.1,0,0,16,0,3.8,514,0.0,0.0,0.0,0.0,1,1,0,1.0,5.8,2022-08-05T19:00:00Z,74,1,0,0,0,0,1,0,9875,0,2.0,0.0,0.0,2,0,0,0,50,True,0,1,514,2022-23,5.0,Arsenal,ARS,3,4,1245,1285,1250,1250,1240,1320,0.0,18202.0,2022.0,539128.0,0.0,0.0,0.0,0.0557319000363349,0.0557319000363349,8666.0,,,,
Luka Milivojevic,MID,Crystal Palace,0.5,0,0,3,0,1.4,158,0.0,0.0,0.0,0.0,1,1,0,0.2,0.8,2022-08-05T19:00:00Z,15,1,0,0,0,0,1,0,54854,0,2.0,0.0,0.0,1,0,0,0,45,True,0,1,158,2022-23,4.5,Arsenal,ARS,3,4,1245,1285,1250,1250,1240,1320,0.0,18202.0,2022.0,539134.0,0.0,0.0,0.0,0.0,0.0,5549.0,,,,
Wesley Fofana,DEF,Leicester,1.9,0,0,12,0,3.3,272,0.0,0.0,0.0,0.0,6,2,0,2.9,19.2,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,128115,0,2.0,2.0,6.0,1,0,0,0,45,True,0,1,272,2022-23,4.5,Brentford,BRE,94,3,1115,1180,1100,1160,1130,1200,1.0,18210.0,2022.0,539824.0,0.0,0.0,0.0136184003204107,0.1624960005283355,0.1624960005283355,7589.0,,,,
Gianluca Scamacca,FWD,West Ham,0.3,0,0,1,0,0.7,529,0.0,0.0,0.0,0.0,10,1,0,0.1,0.0,2022-08-07T15:30:00Z,33,13,0,0,0,0,1,0,100675,0,2.0,0.0,0.0,1,0,0,0,70,True,0,1,529,2022-23,7.0,Man City,MCI,43,5,1350,1360,1340,1340,1360,1380,0.0,18211.0,2022.0,540074.0,0.0,0.0,0.0,0.0238326992839574,0.0238326992839574,6253.0,,,,
