feature,importance
roll_8_total_points,0.023966411
roll_3_minutes,0.022452887
roll_8_bps,0.021377234
roll_8_us_xGChain,0.020624042
opp_dyn_overall,0.0191722
was_home,0.018962529
roll_5_minutes,0.016609233
opp_dyn_attack,0.016397422
opp_dyn_defence,0.014233948
roll_8_us_xGChain_per90,0.014131094
roll_5_us_key_passes_per90,0.013848068
roll_8_us_xGBuildup,0.013660716
roll_hist_count_8,0.01349884
roll_3_bps,0.013449857
roll_3_us_xGBuildup_per90,0.013099608
roll_5_expected_goal_involvements,0.0130990585
roll_3_us_key_passes_per90,0.012921554
roll_5_us_xGChain_per90,0.012865792
roll_5_us_xGChain,0.0127863465
roll_3_us_key_passes,0.012733663
roll_8_us_xGBuildup_per90,0.0126788495
roll_8_creativity,0.012453552
roll_5_expected_goals_per90,0.012381733
roll_5_threat,0.012283
roll_8_ict_index,0.012200057
roll_5_expected_goal_involvements_per90,0.012130533
roll_8_minutes,0.012123533
roll_3_influence,0.012117585
roll_5_starts,0.012047495
roll_3_expected_goal_involvements,0.011959712
roll_5_ict_index,0.011859112
roll_5_us_xGBuildup,0.011841678
roll_5_assists_per90,0.0118084345
roll_8_bonus,0.011751124
roll_5_expected_assists,0.011645873
roll_3_creativity,0.01159411
roll_8_starts,0.01156356
roll_8_expected_assists,0.011511171
roll_5_us_xGBuildup_per90,0.011503076
roll_3_us_xGChain,0.011500697
roll_3_expected_goal_involvements_per90,0.011462562
roll_8_goals_scored,0.011391224
roll_8_us_key_passes_per90,0.01136256
roll_8_expected_goal_involvements_per90,0.011300638
roll_5_influence,0.01129916
roll_8_expected_goals_per90,0.011279219
roll_5_goals_scored_per90,0.011263067
roll_3_expected_assists_per90,0.011244854
roll_8_total_points_per90,0.011198788
roll_8_us_key_passes,0.0110732615
roll_8_influence,0.011033683
roll_8_assists,0.011022444
roll_3_expected_goals_per90,0.01097035
roll_8_expected_assists_per90,0.010853631
roll_8_threat,0.010840706
roll_5_total_points_per90,0.01081464
roll_5_bps,0.010726257
roll_5_us_key_passes,0.010702187
roll_3_bonus,0.01069313
roll_3_threat,0.010640284
roll_8_goals_scored_per90,0.010613922
roll_8_expected_goal_involvements,0.010610154
roll_5_total_points,0.010388961
roll_3_goals_scored_per90,0.010365177
roll_3_ict_index,0.010285481
roll_3_total_points_per90,0.0102072535
roll_3_us_xGChain_per90,0.010206825
roll_5_expected_assists_per90,0.010088077
roll_3_us_xGBuildup,0.010083878
roll_8_expected_goals,0.010038461
roll_5_assists,0.010036448
roll_5_creativity,0.010034801
roll_5_bonus,0.009787216
roll_5_goals_scored,0.009478685
roll_5_expected_goals,0.0093224915
roll_8_assists_per90,0.009225737
roll_3_expected_assists,0.008630172
roll_3_assists_per90,0.00844398
roll_3_expected_goals,0.007843239
roll_3_total_points,0.007522653
roll_3_starts,0.007057594
roll_hist_count_5,0.0069901985
roll_hist_count_3,0.004777876
roll_3_assists,0.0041718287
roll_3_goals_scored,0.003770833
