feature,importance
roll_8_influence,0.029174505
roll_8_ict_index,0.023662928
was_home,0.022874843
roll_8_total_points,0.021042682
roll_8_expected_goal_involvements,0.017326737
roll_8_minutes,0.01726007
roll_5_influence,0.016330473
roll_3_minutes,0.016029846
roll_5_assists,0.015533478
roll_5_goals_scored,0.015491857
roll_8_goals_scored,0.01540169
roll_8_us_xGChain,0.015348304
opp_dyn_overall,0.014171801
roll_8_us_key_passes_per90,0.013879673
roll_5_expected_goals_per90,0.013815134
roll_8_expected_assists,0.013645866
roll_5_ict_index,0.013511538
roll_3_us_xGBuildup,0.013346653
roll_8_assists_per90,0.013271835
roll_8_us_xGBuildup_per90,0.013174809
roll_8_expected_goal_involvements_per90,0.0128464475
roll_5_bonus,0.012766232
roll_8_threat,0.012743695
roll_8_bonus,0.012492037
roll_8_creativity,0.012301878
roll_3_ict_index,0.012278668
roll_5_minutes,0.012260893
roll_5_total_points,0.012189516
roll_5_threat,0.0121797575
roll_8_starts,0.012098623
roll_5_us_xGBuildup,0.011944341
roll_8_goals_scored_per90,0.011843088
roll_3_expected_goal_involvements_per90,0.011761483
roll_5_bps,0.011670871
roll_3_us_xGChain,0.011621455
roll_3_total_points_per90,0.011601568
roll_5_us_xGChain,0.0115967775
roll_5_us_xGBuildup_per90,0.011527092
roll_3_influence,0.011509665
roll_5_us_xGChain_per90,0.011475546
roll_8_expected_goals,0.011299563
roll_5_expected_goals,0.0112536475
opp_dyn_defence,0.011244047
roll_5_goals_scored_per90,0.011207673
roll_5_expected_goal_involvements_per90,0.011093612
roll_3_us_xGChain_per90,0.011018373
roll_8_us_xGBuildup,0.010993464
roll_5_creativity,0.010936062
roll_3_us_key_passes_per90,0.010905959
roll_5_expected_assists_per90,0.010887166
roll_3_us_xGBuildup_per90,0.010866744
roll_3_expected_goals_per90,0.010843273
roll_8_expected_assists_per90,0.010633204
roll_5_total_points_per90,0.010606019
roll_5_expected_assists,0.010425296
roll_5_expected_goal_involvements,0.010320518
roll_8_expected_goals_per90,0.010286785
roll_5_us_key_passes,0.010251654
roll_8_us_xGChain_per90,0.010238343
roll_5_starts,0.0101766065
roll_8_bps,0.010164869
roll_8_total_points_per90,0.010130891
roll_5_assists_per90,0.01010511
roll_8_assists,0.010094818
opp_dyn_attack,0.01008461
roll_3_expected_goal_involvements,0.010082846
roll_3_threat,0.010021703
roll_3_assists_per90,0.009922133
roll_3_goals_scored_per90,0.009869597
roll_5_us_key_passes_per90,0.009846073
roll_3_creativity,0.009733298
roll_3_expected_assists_per90,0.009433198
roll_3_bps,0.009200042
roll_8_us_key_passes,0.009026073
roll_hist_count_3,0.0082898
roll_hist_count_8,0.008254712
roll_3_bonus,0.0077174935
roll_3_expected_goals,0.0076520042
roll_3_us_key_passes,0.0074647726
roll_3_expected_assists,0.0069431756
roll_3_total_points,0.00657273
roll_3_goals_scored,0.005766388
roll_hist_count_5,0.005258375
roll_3_assists,0.0045813513
roll_3_starts,0.0032915524
