feature,importance
roll_3_minutes,0.039906815
roll_3_assists_per90,0.021684978
roll_8_assists_per90,0.021207973
roll_5_creativity,0.020075861
roll_3_expected_goal_involvements_per90,0.018656557
roll_8_starts,0.018318404
roll_5_expected_assists_per90,0.018037766
roll_5_expected_assists,0.017908057
roll_8_minutes,0.017717995
roll_8_total_points_per90,0.017662736
roll_5_assists_per90,0.01725193
roll_8_expected_assists_per90,0.017185636
roll_8_saves_per90,0.017168688
roll_3_influence,0.016705737
roll_5_starts,0.01661113
roll_5_expected_goal_involvements_per90,0.016556028
roll_3_ict_index,0.016150977
roll_8_expected_goal_involvements,0.01606663
roll_8_expected_assists,0.015814029
roll_8_expected_goals_conceded,0.015671171
opp_dyn_overall,0.015452911
roll_8_expected_goals_conceded_per90,0.015331288
roll_5_total_points_per90,0.015101206
roll_8_saves,0.0149198305
roll_5_expected_goals_conceded_per90,0.014820214
roll_5_influence,0.014693356
roll_5_bps,0.014614575
roll_5_clean_sheets,0.0144472895
opp_dyn_attack,0.014398497
roll_8_influence,0.014215913
opp_dyn_defence,0.014204799
roll_8_total_points,0.013837364
roll_5_ict_index,0.013756682
roll_hist_count_8,0.013660483
roll_8_creativity,0.013528442
roll_8_bps,0.013482748
roll_3_saves,0.013416503
roll_5_total_points,0.013335163
roll_8_threat,0.013223014
roll_5_saves_per90,0.01319138
roll_8_expected_goals,0.013162456
roll_5_expected_goals_conceded,0.01308751
roll_5_bonus,0.013016056
roll_5_expected_goals_per90,0.012864547
roll_8_bonus,0.012792372
roll_5_saves,0.012745972
roll_8_ict_index,0.012664023
roll_3_saves_per90,0.012621005
roll_3_total_points_per90,0.012606182
roll_3_expected_goals_conceded_per90,0.012526981
roll_3_expected_goals_conceded,0.012412428
roll_5_expected_goal_involvements,0.012331439
roll_3_bps,0.012087058
roll_8_clean_sheets,0.012011177
roll_3_assists,0.0120086325
roll_5_minutes,0.011750081
roll_3_creativity,0.011702439
was_home,0.0116845
roll_3_total_points,0.011351956
roll_8_assists,0.011010833
roll_8_expected_goal_involvements_per90,0.010950155
roll_hist_count_5,0.01091046
roll_3_expected_assists_per90,0.010613256
roll_3_expected_goal_involvements,0.0100719575
roll_5_expected_goals,0.009358357
roll_3_clean_sheets,0.009170766
roll_3_bonus,0.009164197
roll_3_expected_assists,0.007664292
roll_5_assists,0.0049195616
roll_3_starts,0.0046767127
roll_3_expected_goals,0.003229414
roll_hist_count_3,0.0028424212
roll_8_expected_goals_per90,0.0
roll_8_goals_scored,0.0
roll_3_threat,0.0
roll_3_goals_scored,0.0
roll_3_goals_scored_per90,0.0
roll_8_goals_scored_per90,0.0
roll_5_goals_scored_per90,0.0
roll_5_goals_scored,0.0
roll_3_expected_goals_per90,0.0
roll_5_threat,0.0
