feature,importance
roll_8_ict_index,0.10437724
roll_5_ict_index,0.047535293
roll_8_total_points,0.019759625
roll_hist_count_5,0.015080606
roll_8_expected_goal_involvements,0.014905205
roll_8_threat,0.014891394
was_home,0.014009745
roll_hist_count_8,0.013628597
roll_5_minutes,0.013489487
roll_8_us_xGBuildup_per90,0.012345127
opp_dyn_defence,0.012271317
roll_8_minutes,0.0122347
roll_5_total_points,0.012071961
roll_5_expected_goals_per90,0.012028492
roll_3_ict_index,0.012013506
opp_dyn_overall,0.011957136
roll_5_us_xGBuildup_per90,0.011945364
roll_3_us_key_passes_per90,0.011813516
roll_8_us_key_passes_per90,0.011809074
roll_5_threat,0.011631362
opp_dyn_attack,0.01153622
roll_8_expected_assists,0.011334998
roll_5_us_key_passes_per90,0.011206118
roll_8_us_xGBuildup,0.011194687
roll_5_us_xGChain_per90,0.011081832
roll_8_us_xGChain,0.010960933
roll_8_us_xGChain_per90,0.010955214
roll_5_us_xGChain,0.010935559
roll_5_goals_scored,0.010894298
roll_3_us_xGChain,0.0107852835
roll_8_creativity,0.010745516
roll_8_expected_goal_involvements_per90,0.010701604
roll_5_expected_goal_involvements,0.010547973
roll_8_us_key_passes,0.010538624
roll_5_bonus,0.010535941
roll_5_expected_goal_involvements_per90,0.010520686
roll_8_starts,0.010397772
roll_5_expected_goals,0.010371677
roll_5_influence,0.010347805
roll_8_expected_goals_per90,0.010324255
roll_8_assists_per90,0.010173264
roll_5_expected_assists,0.01007259
roll_8_expected_goals,0.010069598
roll_3_us_xGBuildup,0.010060931
roll_8_bonus,0.010027239
roll_5_expected_assists_per90,0.010026131
roll_3_expected_goals_per90,0.0099820485
roll_3_threat,0.009960198
roll_3_influence,0.009930742
roll_8_total_points_per90,0.009925793
roll_3_expected_assists_per90,0.009895445
roll_5_bps,0.00989323
roll_5_assists_per90,0.009892577
roll_5_goals_scored_per90,0.009828951
roll_8_influence,0.009791714
roll_5_assists,0.009733692
roll_8_goals_scored_per90,0.009701704
roll_8_bps,0.009641628
roll_3_total_points_per90,0.009558172
roll_5_us_xGBuildup,0.00954522
roll_8_expected_assists_per90,0.009295483
roll_5_total_points_per90,0.009289216
roll_3_us_xGChain_per90,0.00922411
roll_3_assists_per90,0.0091518825
roll_3_creativity,0.009115754
roll_3_bps,0.009008467
roll_3_us_xGBuildup_per90,0.008995041
roll_5_starts,0.008900083
roll_8_assists,0.008890299
roll_5_creativity,0.008849979
roll_3_minutes,0.008717801
roll_3_bonus,0.008600478
roll_3_expected_goal_involvements,0.008479429
roll_3_us_key_passes,0.008360049
roll_3_goals_scored_per90,0.008352339
roll_3_expected_goal_involvements_per90,0.008028646
roll_3_expected_assists,0.008001639
roll_5_us_key_passes,0.007946968
roll_8_goals_scored,0.0077238954
roll_3_expected_goals,0.0067592594
roll_3_total_points,0.0064767096
roll_3_starts,0.0063687935
roll_3_assists,0.004647522
roll_3_goals_scored,0.003876515
roll_hist_count_3,0.0035129497
