feature,importance
opp_dyn_attack,0.038571343
opp_dyn_overall,0.030402824
roll_8_us_xGChain,0.021625204
roll_8_total_points,0.018891104
roll_5_us_xGChain,0.018856173
roll_5_total_points,0.01701692
roll_3_influence,0.016487148
roll_3_minutes,0.016328687
roll_8_us_xGBuildup,0.01520766
roll_8_total_points_per90,0.014897541
opp_dyn_defence,0.014390502
roll_5_us_xGBuildup_per90,0.014278059
roll_3_threat,0.014275478
was_home,0.013869893
roll_3_expected_goal_involvements,0.013867281
roll_5_starts,0.013767864
roll_3_total_points_per90,0.01371762
roll_8_expected_goals_per90,0.013601807
roll_5_us_xGBuildup,0.013578468
roll_5_us_xGChain_per90,0.013160697
roll_8_us_key_passes_per90,0.012847455
roll_8_us_xGBuildup_per90,0.012730503
roll_5_threat,0.012636417
roll_5_ict_index,0.01246894
roll_3_us_key_passes,0.012289884
roll_5_total_points_per90,0.012237776
roll_8_expected_goals,0.012144959
roll_3_us_xGBuildup_per90,0.012128008
roll_5_us_key_passes_per90,0.012044075
roll_8_us_key_passes,0.0118664615
roll_8_us_xGChain_per90,0.0118651325
roll_8_bps,0.011794583
roll_5_influence,0.011696282
roll_5_creativity,0.01155167
roll_3_us_xGBuildup,0.011505221
roll_8_creativity,0.011483251
roll_5_expected_goals_per90,0.0114330975
roll_5_expected_goal_involvements_per90,0.0113930795
roll_3_assists_per90,0.011322915
roll_8_threat,0.011293742
roll_3_expected_goal_involvements_per90,0.011219634
roll_5_expected_goal_involvements,0.011070554
roll_8_expected_goal_involvements,0.011002563
roll_3_expected_assists_per90,0.010999825
roll_3_us_key_passes_per90,0.010977874
roll_8_minutes,0.010951543
roll_8_expected_assists,0.010940888
roll_3_expected_goals_per90,0.010940865
roll_8_goals_scored_per90,0.010872658
roll_8_bonus,0.010814386
roll_8_expected_assists_per90,0.010739064
roll_8_ict_index,0.010688834
roll_3_creativity,0.010580958
roll_8_assists_per90,0.010573976
roll_3_us_xGChain,0.010539963
roll_8_goals_scored,0.010505944
roll_5_minutes,0.010502301
roll_3_goals_scored_per90,0.010467516
roll_5_expected_assists_per90,0.010436473
roll_5_expected_assists,0.010434201
roll_3_us_xGChain_per90,0.01030639
roll_5_us_key_passes,0.010133527
roll_5_goals_scored_per90,0.010090268
roll_8_starts,0.010060253
roll_8_influence,0.009902569
roll_8_expected_goal_involvements_per90,0.009892783
roll_5_bonus,0.009860635
roll_5_expected_goals,0.00955968
roll_3_bps,0.009551024
roll_3_ict_index,0.009283205
roll_5_assists_per90,0.009176735
roll_3_bonus,0.009078588
roll_8_assists,0.008767079
roll_hist_count_5,0.008748251
roll_5_assists,0.008522215
roll_3_expected_goals,0.008456073
roll_5_bps,0.008359216
roll_3_expected_assists,0.0082746865
roll_hist_count_8,0.007796846
roll_5_goals_scored,0.006927902
roll_3_total_points,0.006108869
roll_3_assists,0.0045727477
roll_3_starts,0.0035661168
roll_3_goals_scored,0.0022185603
roll_hist_count_3,0.0
