feature,importance
was_home,0.13681684
roll_5_ict_index,0.025068818
roll_8_ict_index,0.02349572
roll_3_ict_index,0.021270366
roll_8_total_points,0.020471767
roll_5_minutes,0.018456476
roll_8_us_xGChain,0.016321722
opp_dyn_attack,0.015972544
roll_5_goals_scored,0.014458636
roll_5_total_points,0.014261188
roll_8_expected_goal_involvements,0.013692153
roll_8_expected_assists,0.013564455
roll_5_assists_per90,0.012429598
roll_8_us_key_passes,0.012419976
roll_5_expected_goal_involvements,0.012186704
opp_dyn_overall,0.011939129
roll_8_assists_per90,0.011924638
roll_8_assists,0.011854705
roll_3_us_xGBuildup,0.011755666
roll_8_bonus,0.0117017785
opp_dyn_defence,0.011606243
roll_8_starts,0.011497407
roll_5_us_xGBuildup,0.011346904
roll_8_goals_scored_per90,0.011297447
roll_3_total_points_per90,0.011281276
roll_5_threat,0.011263109
roll_8_influence,0.011212469
roll_3_threat,0.01117709
roll_5_bonus,0.011081791
roll_5_goals_scored_per90,0.0109062195
roll_3_us_xGChain,0.0109039415
roll_8_expected_goals,0.010900083
roll_5_us_key_passes_per90,0.010634576
roll_8_us_xGBuildup,0.010620607
roll_5_total_points_per90,0.010585682
roll_8_threat,0.010420826
roll_5_expected_goals,0.010345352
roll_8_minutes,0.010125231
roll_5_us_xGChain,0.01007318
roll_3_us_xGChain_per90,0.0099825105
roll_3_us_key_passes_per90,0.009917217
roll_8_creativity,0.009909163
roll_5_expected_assists,0.009893914
roll_5_expected_goals_per90,0.009888755
roll_8_us_xGBuildup_per90,0.009860151
roll_5_expected_goal_involvements_per90,0.009789614
roll_5_influence,0.009768883
roll_8_expected_goal_involvements_per90,0.009690884
roll_3_us_key_passes,0.009616851
roll_5_us_xGBuildup_per90,0.009485653
roll_3_expected_goal_involvements,0.009426009
roll_5_expected_assists_per90,0.00932363
roll_5_creativity,0.009226628
roll_5_us_xGChain_per90,0.00919262
roll_8_us_xGChain_per90,0.009141433
roll_8_us_key_passes_per90,0.009022241
roll_5_assists,0.008900052
roll_8_expected_goals_per90,0.008876042
roll_8_bps,0.008819991
roll_3_influence,0.008753931
roll_8_total_points_per90,0.008673048
roll_3_bps,0.008550208
roll_3_expected_goals_per90,0.00847399
roll_8_expected_assists_per90,0.008409357
roll_5_us_key_passes,0.008384445
roll_3_us_xGBuildup_per90,0.008364232
roll_3_expected_goal_involvements_per90,0.008326754
roll_3_assists_per90,0.008175414
roll_3_creativity,0.008048409
roll_5_bps,0.007988359
roll_hist_count_8,0.00781613
roll_3_goals_scored_per90,0.0078091077
roll_3_minutes,0.0076580513
roll_3_expected_goals,0.0074482476
roll_3_expected_assists_per90,0.0070774895
roll_3_bonus,0.0067808707
roll_8_goals_scored,0.0064072106
roll_3_expected_assists,0.0057468917
roll_3_total_points,0.0055131633
roll_5_starts,0.0054140235
roll_3_assists,0.004965834
roll_hist_count_5,0.00363355
roll_3_goals_scored,0.0022590167
roll_3_starts,0.0022477298
roll_hist_count_3,0.0
