feature,importance
was_home,0.15367854
roll_8_minutes,0.024614856
roll_5_total_points,0.02235257
roll_5_assists_per90,0.019640934
roll_5_ict_index,0.01957323
roll_3_ict_index,0.019541593
roll_5_expected_assists_per90,0.01834959
roll_8_assists_per90,0.018338872
roll_3_expected_goal_involvements_per90,0.017652677
opp_dyn_overall,0.016708095
roll_5_expected_goal_involvements_per90,0.016100416
roll_5_starts,0.015009498
roll_8_expected_goal_involvements_per90,0.014975718
roll_5_expected_assists,0.014701441
opp_dyn_defence,0.014464504
opp_dyn_attack,0.014306156
roll_5_expected_goals_conceded_per90,0.013892008
roll_8_expected_goal_involvements,0.013873389
roll_5_influence,0.013871806
roll_8_expected_assists_per90,0.013827175
roll_3_clean_sheets,0.013559119
roll_5_creativity,0.013408972
roll_8_expected_goals_conceded_per90,0.013319061
roll_3_expected_goals_conceded_per90,0.013233989
roll_8_expected_assists,0.012985498
roll_8_saves,0.012942783
roll_5_expected_goals_conceded,0.012834578
roll_5_expected_goal_involvements,0.012780028
roll_8_total_points_per90,0.012599469
roll_3_assists_per90,0.012401724
roll_8_expected_goals_conceded,0.012210843
roll_8_clean_sheets,0.012163063
roll_5_saves,0.012161994
roll_3_influence,0.012160974
roll_5_saves_per90,0.0120812915
roll_8_influence,0.0120622665
roll_hist_count_5,0.011752814
roll_3_expected_goals_conceded,0.011511961
roll_3_expected_assists_per90,0.011231465
roll_5_bps,0.011225806
roll_8_saves_per90,0.011122401
roll_8_bps,0.010994968
roll_3_total_points_per90,0.010946592
roll_5_bonus,0.010944036
roll_8_creativity,0.010936092
roll_3_creativity,0.010481626
roll_3_bps,0.010469579
roll_8_assists,0.010419288
roll_8_ict_index,0.010322946
roll_8_total_points,0.010026988
roll_3_saves,0.010012906
roll_3_total_points,0.009980643
roll_5_threat,0.009905464
roll_5_assists,0.009767405
roll_hist_count_8,0.009505617
roll_3_expected_goal_involvements,0.009489431
roll_5_total_points_per90,0.009306616
roll_3_saves_per90,0.008812998
roll_8_bonus,0.008662283
roll_5_clean_sheets,0.008406935
roll_5_minutes,0.008165777
roll_3_expected_assists,0.008090925
roll_8_starts,0.0077429316
roll_5_expected_goals_per90,0.007573441
roll_8_expected_goals,0.0075041186
roll_hist_count_3,0.0074244766
roll_3_bonus,0.007357103
roll_8_threat,0.007152812
roll_3_minutes,0.006574881
roll_3_assists,0.0037201657
roll_3_starts,0.0022946375
roll_3_expected_goals,0.0017831204
roll_8_goals_scored_per90,0.0
roll_5_goals_scored,0.0
roll_8_goals_scored,0.0
roll_5_expected_goals,0.0
roll_3_expected_goals_per90,0.0
roll_3_goals_scored_per90,0.0
roll_3_threat,0.0
roll_5_goals_scored_per90,0.0
roll_3_goals_scored,0.0
roll_8_expected_goals_per90,0.0
