feature,importance
was_home,0.15770173
roll_8_ict_index,0.06886194
roll_5_ict_index,0.03649643
opp_dyn_attack,0.019752022
opp_dyn_defence,0.018464336
roll_8_expected_goal_involvements,0.018111136
opp_dyn_overall,0.015271714
roll_3_expected_goal_involvements,0.013953918
roll_8_us_xGChain,0.01248042
roll_8_total_points,0.012376547
roll_3_ict_index,0.012187165
roll_3_threat,0.012064758
roll_5_assists,0.011427028
roll_8_us_xGBuildup_per90,0.010879569
roll_8_starts,0.010705251
roll_5_total_points,0.010428511
roll_8_us_key_passes,0.010316946
roll_5_expected_assists,0.010297395
roll_3_minutes,0.010115076
roll_8_expected_assists,0.010082862
roll_5_us_xGChain_per90,0.010010094
roll_8_threat,0.0099885315
roll_5_minutes,0.009971835
roll_5_us_xGBuildup_per90,0.009900665
roll_8_expected_goals,0.0097090425
roll_5_expected_goal_involvements_per90,0.009673564
roll_5_us_key_passes_per90,0.0096251415
roll_8_creativity,0.009502043
roll_hist_count_3,0.00943524
roll_8_us_xGChain_per90,0.00939303
roll_8_minutes,0.009279693
roll_5_starts,0.009185878
roll_8_us_xGBuildup,0.009168256
roll_3_expected_assists_per90,0.0090644695
roll_8_bps,0.009003477
roll_5_total_points_per90,0.008903416
roll_5_us_xGChain,0.008797416
roll_8_expected_goal_involvements_per90,0.008780512
roll_5_threat,0.00878038
roll_5_assists_per90,0.0087546995
roll_8_goals_scored_per90,0.008749322
roll_8_expected_assists_per90,0.008681819
roll_3_assists_per90,0.008630037
roll_3_expected_goal_involvements_per90,0.008627773
roll_8_expected_goals_per90,0.008491115
roll_5_goals_scored_per90,0.008466294
roll_8_goals_scored,0.008452011
roll_5_expected_assists_per90,0.008432971
roll_3_us_key_passes_per90,0.008375219
roll_8_us_key_passes_per90,0.0083301915
roll_5_us_key_passes,0.0083044795
roll_8_influence,0.008286234
roll_3_expected_goals_per90,0.008264158
roll_5_expected_goal_involvements,0.00824996
roll_3_us_xGBuildup_per90,0.008180743
roll_3_us_xGChain_per90,0.008151823
roll_8_total_points_per90,0.008110082
roll_5_us_xGBuildup,0.008042512
roll_5_bonus,0.00803647
roll_3_bps,0.007958888
roll_5_expected_goals_per90,0.007928883
roll_3_goals_scored_per90,0.007873145
roll_5_creativity,0.007857103
roll_5_expected_goals,0.007820143
roll_5_influence,0.0077998703
roll_8_assists_per90,0.007789698
roll_3_us_xGBuildup,0.007713269
roll_5_bps,0.0074290894
roll_3_us_xGChain,0.0074144755
roll_3_total_points_per90,0.0073445365
roll_3_influence,0.007275681
roll_3_creativity,0.007135174
roll_3_expected_assists,0.0071318746
roll_8_bonus,0.00679677
roll_3_assists,0.0067220307
roll_3_bonus,0.0067037125
roll_8_assists,0.006673421
roll_3_us_key_passes,0.00631752
roll_3_expected_goals,0.0060796565
roll_3_total_points,0.005463087
roll_hist_count_5,0.0053815674
roll_3_goals_scored,0.0046997136
roll_5_goals_scored,0.0045330394
roll_hist_count_8,0.00448415
roll_3_starts,0.0019081015
