epoch,train_loss,val_mae,val_rmse
1,10.91795745807004,1.6044808626174927,2.6320353190072714
2,7.074127769774538,1.832808494567871,2.532527554090052
3,6.600800002577013,1.682196021080017,2.508319744018378
4,6.4607560028818725,1.6807457208633423,2.4846986763709635
5,6.364751792020611,1.6630231142044067,2.4738268258461673
6,6.2913164480016865,1.650508165359497,2.468890994910666
7,6.30340494518029,1.576644778251648,2.476591284551521
8,6.293371578113082,1.6976301670074463,2.464100092260652
9,6.245707435820937,1.614924669265747,2.466257986373847
10,6.197771202390965,1.6483852863311768,2.4663922604009136
11,6.183914874624246,1.6338539123535156,2.4650602170077147
12,6.130707486483221,1.6468392610549927,2.4761252995094676
13,6.128780284724865,1.6518776416778564,2.4590431309377254
