feature,importance
roll_8_influence,0.027435422
roll_8_ict_index,0.025678204
was_home,0.02418222
roll_8_goals_scored,0.021197164
roll_8_total_points,0.020732393
roll_5_assists,0.018221723
roll_8_expected_goal_involvements,0.018086266
roll_5_ict_index,0.017990688
roll_5_goals_scored,0.017479474
roll_8_minutes,0.017446693
roll_8_us_xGChain,0.017281828
roll_5_influence,0.015202302
roll_8_us_key_passes_per90,0.015158666
roll_3_minutes,0.0147775225
roll_8_expected_goals,0.014576568
opp_dyn_overall,0.01419108
roll_8_expected_assists,0.013674976
roll_8_us_xGBuildup_per90,0.013124172
roll_8_threat,0.013099938
roll_8_creativity,0.012954201
roll_8_assists_per90,0.012780182
roll_3_us_xGBuildup,0.012750024
roll_3_expected_goal_involvements,0.012639569
roll_8_us_key_passes,0.012589479
roll_8_expected_goal_involvements_per90,0.012580259
roll_3_total_points_per90,0.012554131
roll_5_expected_goal_involvements,0.012459691
roll_3_us_xGBuildup_per90,0.012444118
opp_dyn_attack,0.012413672
roll_5_assists_per90,0.012337543
roll_3_ict_index,0.0118768485
roll_5_bonus,0.011876136
roll_5_us_xGChain,0.011865556
roll_5_minutes,0.011849059
roll_5_us_xGChain_per90,0.011540589
roll_8_us_xGBuildup,0.011427277
roll_5_expected_goals_per90,0.0113848075
roll_hist_count_8,0.011341735
roll_5_bps,0.0112555055
roll_5_threat,0.011196209
roll_8_us_xGChain_per90,0.011094816
roll_5_total_points,0.011048485
roll_5_creativity,0.011032188
opp_dyn_defence,0.0110145835
roll_5_us_xGBuildup,0.0109563805
roll_8_total_points_per90,0.01086975
roll_3_influence,0.010837268
roll_8_expected_assists_per90,0.010808228
roll_3_expected_goal_involvements_per90,0.010741059
roll_3_us_xGChain_per90,0.010695479
roll_8_expected_goals_per90,0.010668152
roll_8_bps,0.010625185
roll_3_us_key_passes_per90,0.010574307
roll_5_expected_goal_involvements_per90,0.01050204
roll_3_expected_goals_per90,0.0104231015
roll_5_expected_goals,0.010402115
roll_5_us_key_passes_per90,0.0103950305
roll_8_goals_scored_per90,0.010386062
roll_3_creativity,0.010048291
roll_5_expected_assists,0.010036817
roll_5_expected_assists_per90,0.009752491
roll_8_bonus,0.009680851
roll_3_bonus,0.009504933
roll_3_expected_assists_per90,0.00940388
roll_8_assists,0.009349436
roll_5_goals_scored_per90,0.0092948675
roll_8_starts,0.009274181
roll_5_total_points_per90,0.009209452
roll_5_us_key_passes,0.009166488
roll_3_us_xGChain,0.009068495
roll_3_bps,0.009007906
roll_3_threat,0.008963925
roll_3_assists_per90,0.008943762
roll_3_goals_scored_per90,0.00876076
roll_5_us_xGBuildup_per90,0.008728297
roll_3_expected_goals,0.0074539944
roll_5_starts,0.0074353614
roll_3_us_key_passes,0.006862581
roll_3_total_points,0.0067855655
roll_3_expected_assists,0.006094819
roll_3_goals_scored,0.005278384
roll_hist_count_3,0.0051991446
roll_hist_count_5,0.0038027207
roll_3_starts,0.0033824139
roll_3_assists,0.002782146
