feature,importance
roll_8_ict_index,0.095717065
roll_5_ict_index,0.04908986
roll_8_total_points,0.03452088
roll_8_expected_goal_involvements,0.01947869
roll_5_minutes,0.01749459
roll_3_minutes,0.015686547
roll_hist_count_8,0.015258656
opp_dyn_overall,0.01483192
was_home,0.014761587
roll_8_threat,0.013599682
opp_dyn_attack,0.012761651
roll_8_creativity,0.011724573
roll_5_expected_goals,0.0116036795
roll_8_us_key_passes_per90,0.011387909
roll_5_bonus,0.011376346
roll_5_us_key_passes_per90,0.011355726
roll_5_expected_goals_per90,0.011336195
roll_8_goals_scored,0.011310673
roll_8_us_xGChain,0.011237098
roll_8_expected_assists,0.011223268
roll_8_expected_assists_per90,0.01112134
roll_3_us_key_passes_per90,0.01107676
roll_5_us_xGChain,0.011047126
roll_5_total_points,0.010975007
roll_8_us_xGBuildup,0.010858964
roll_8_expected_goals_per90,0.010800079
opp_dyn_defence,0.010782879
roll_8_minutes,0.010683647
roll_5_threat,0.010679802
roll_8_total_points_per90,0.010629357
roll_5_us_xGChain_per90,0.01061233
roll_3_threat,0.010456747
roll_8_goals_scored_per90,0.010391943
roll_8_us_key_passes,0.010348837
roll_3_ict_index,0.010232418
roll_3_us_key_passes,0.010098646
roll_8_expected_goal_involvements_per90,0.010090875
roll_5_us_xGBuildup_per90,0.01005435
roll_3_expected_goal_involvements_per90,0.010040296
roll_hist_count_5,0.010017394
roll_8_us_xGBuildup_per90,0.010015802
roll_8_expected_goals,0.010012382
roll_3_expected_goals_per90,0.009961063
roll_3_total_points_per90,0.009917073
roll_3_us_xGChain_per90,0.009872976
roll_5_expected_assists,0.00985746
roll_5_expected_assists_per90,0.009839815
roll_5_goals_scored_per90,0.009811087
roll_8_bonus,0.009748497
roll_8_bps,0.009719253
roll_8_assists_per90,0.009700565
roll_3_creativity,0.009693257
roll_8_influence,0.009690958
roll_3_us_xGChain,0.009687666
roll_8_us_xGChain_per90,0.009616188
roll_3_us_xGBuildup_per90,0.0096055
roll_5_expected_goal_involvements_per90,0.009512982
roll_5_us_xGBuildup,0.009501185
roll_5_influence,0.009385705
roll_3_goals_scored_per90,0.009378224
roll_3_influence,0.009217386
roll_5_bps,0.009089343
roll_3_us_xGBuildup,0.009013308
roll_5_expected_goal_involvements,0.009011962
roll_3_expected_goal_involvements,0.008941979
roll_5_assists_per90,0.008868163
roll_5_total_points_per90,0.008722529
roll_3_total_points,0.008683062
roll_5_goals_scored,0.008602943
roll_5_creativity,0.008582302
roll_5_assists,0.008514581
roll_8_assists,0.008452892
roll_8_starts,0.008367813
roll_3_expected_assists_per90,0.00836374
roll_3_bps,0.008228471
roll_5_starts,0.0076495307
roll_3_bonus,0.0075693936
roll_3_expected_assists,0.0074499073
roll_5_us_key_passes,0.007163815
roll_3_assists_per90,0.0071210205
roll_3_expected_goals,0.0065392773
roll_3_assists,0.004958811
roll_3_goals_scored,0.0045756046
roll_3_starts,0.0037474488
roll_hist_count_3,0.0012816229
